pair,features,fold,metric,value
HA-NA,k-mer nt_cds k=6,0,f1,0.8888888888888888
HA-NA,k-mer nt_cds k=6,0,f1_macro,0.8778208998131378
HA-NA,k-mer nt_cds k=6,0,precision,0.8207171314741036
HA-NA,k-mer nt_cds k=6,0,recall,0.9694117647058823
HA-NA,k-mer nt_cds k=6,0,auc_roc,0.9340678200692041
HA-NA,k-mer nt_cds k=6,1,f1,0.871413390010627
HA-NA,k-mer nt_cds k=6,1,f1_macro,0.8559965500777773
HA-NA,k-mer nt_cds k=6,1,precision,0.7945736434108527
HA-NA,k-mer nt_cds k=6,1,recall,0.9647058823529412
HA-NA,k-mer nt_cds k=6,1,auc_roc,0.9105439446366781
HA-NA,k-mer nt_cds k=6,2,f1,0.8857453754080522
HA-NA,k-mer nt_cds k=6,2,f1_macro,0.8753051201364586
HA-NA,k-mer nt_cds k=6,2,precision,0.8222222222222222
HA-NA,k-mer nt_cds k=6,2,recall,0.9599056603773585
HA-NA,k-mer nt_cds k=6,2,auc_roc,0.9339511391954433
HA-NA,k-mer nt_cds k=6,3,f1,0.8614072494669509
HA-NA,k-mer nt_cds k=6,3,f1_macro,0.8449516458416548
HA-NA,k-mer nt_cds k=6,3,precision,0.7859922178988327
HA-NA,k-mer nt_cds k=6,3,recall,0.9528301886792453
HA-NA,k-mer nt_cds k=6,3,auc_roc,0.9215968761124955
HA-NA,site nt,0,f1,0.8809523809523809
HA-NA,site nt,0,f1_macro,0.8695999018163967
HA-NA,site nt,0,precision,0.8156312625250501
HA-NA,site nt,0,recall,0.9576470588235294
HA-NA,site nt,0,auc_roc,0.9320996539792388
HA-NA,site nt,1,f1,0.8859934853420195
HA-NA,site nt,1,f1_macro,0.8756026476774282
HA-NA,site nt,1,precision,0.8225806451612904
HA-NA,site nt,1,recall,0.96
HA-NA,site nt,1,auc_roc,0.932393079584775
HA-NA,site nt,2,f1,0.8766519823788547
HA-NA,site nt,2,f1_macro,0.8672600013417116
HA-NA,site nt,2,precision,0.8223140495867769
HA-NA,site nt,2,recall,0.9386792452830188
HA-NA,site nt,2,auc_roc,0.9339594829120682
HA-NA,site nt,3,f1,0.8838219326818675
HA-NA,site nt,3,f1_macro,0.8728787082764176
HA-NA,site nt,3,precision,0.8189134808853119
HA-NA,site nt,3,recall,0.9599056603773585
